         871 function calls (854 primitive calls) in 0.013 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:554(_check_closed)
        2    0.000    0.000    0.000    0.000 {built-in method _asyncio.get_running_loop}
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:3102(parameters)
        1    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/queues.py:322(_consume_expired)
        1    0.000    0.000    0.000    0.000 {method 'cancelled' of '_asyncio.Future' objects}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2807(name)
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2901(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/queues.py:59(_set_timeout)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/fromnumeric.py:1232(_argmin_dispatcher)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/lib/arraysetops.py:133(_unique_dispatcher)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:255(closed)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/numpy/core/multiarray.py:153(concatenate)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:758(is_closed)
      1/0    0.000    0.000    0.000          {built-in method builtins.exec}
      1/0    0.000    0.000    0.000          /opt/anaconda3/lib/python3.13/site-packages/IPython/core/interactiveshell.py:3541(run_code)


