         696890 function calls (696876 primitive calls) in 0.200 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       29    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/enum.py:1156(__new__)
       57    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
        8    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:629(get)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/JpegImagePlugin.py:472(_read_dpi_from_exif)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:727(_cross_validate)
       57    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/ImageFile.py:256(<lambda>)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:428(notify_all)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/history.py:839(_writeout_output_cache)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/events.py:113(__init__)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:823(call_soon)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/queue.py:115(empty)
        5    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:312(_release_save)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:303(__enter__)
      3/1    0.000    0.000    0.000    0.000 {method 'control' of 'select.kqueue' objects}
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/ImageFile.py:89(_tilesort)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:631(clear)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:315(_acquire_restore)
       57    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/PIL/ImageFile.py:324(load_end)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:2304(validate)
        5    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:772(time)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:398(notify)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:306(__exit__)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2909(args)
        1    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/typing.py:1443(__hash__)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2932(kwargs)
       28    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/typing.py:2371(cast)
        4    0.000    0.000    0.000    0.000 {built-in method _contextvars.copy_context}
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:157(_handle_event)
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/compilerop.py:180(extra_flags)
        6    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/queues.py:173(qsize)
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/queue.py:267(_qsize)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/traitlets/traitlets.py:3486(validate_elements)
        7    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/threading.py:318(_is_owned)
        1    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        5    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        2    0.000    0.000    0.000    0.000 {built-in method _asyncio.get_running_loop}
       10    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2819(kind)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/events.py:129(__lt__)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        5    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/zmq/eventloop/zmqstream.py:538(receiving)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/interactiveshell.py:3493(compare)
        5    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:2060(get_debug)
        2    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/IPython/core/interactiveshell.py:1277(user_global_ns)
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/selector_events.py:740(_process_events)
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:554(_check_closed)
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/queues.py:322(_consume_expired)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2901(__init__)
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:3102(parameters)
        2    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'cancelled' of '_asyncio.Future' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/tornado/queues.py:59(_set_timeout)
        4    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/inspect.py:2807(name)
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/site-packages/ipykernel/iostream.py:255(closed)
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /opt/anaconda3/lib/python3.13/asyncio/base_events.py:758(is_closed)
      1/0    0.000    0.000    0.000          {built-in method builtins.exec}
      1/0    0.000    0.000    0.000          /opt/anaconda3/lib/python3.13/site-packages/IPython/core/interactiveshell.py:3541(run_code)


